Fecha,Producto,Categoria,Cantidad,Precio
2026-01-05,Martillo,Herramientas,10,5000
2026-01-06,Destornillador,Herramientas,15,3000
2026-01-07,Taladro,Electricas,5,25000
2026-01-08,Sierra Circular,Electricas,3,18000
2026-01-09,Pinza,Herramientas,12,4500
2026-01-10,Llave Inglesa,Herramientas,8,6500
2026-01-11,Amoladora,Electricas,4,30000
2026-01-12,Cinta Métrica,Medicion,20,2000
2026-01-13,Nivel,Medicion,7,5500
2026-01-14,Mecha Set,Accesorios,18,1500
2026-01-15,Martillo,Herramientas,6,5000
2026-01-16,Taladro,Electricas,2,25000
2026-01-17,Cinta Métrica,Medicion,15,2000
2026-01-18,Pinza,Herramientas,10,4500
2026-01-19,Amoladora,Electricas,3,30000
